Log file open, 06/20/14 23:54:49
LogInit:Display: Running engine for game: UltimateTutorials
LogUProjectInfo: Found 0 directories to search
LogUProjectInfo: FillProjectInfo took 0.0087 seconds
Running E:/UnrealEngine4/Unreal Engine 4.2/Engine/Binaries/DotNET/UnrealBuildTool.exe UltimateTutorialsEditor Development Win64 -project="E:/GitHub/UE4---UltimateTutorialMap/UltimateTutorials/UltimateTutorials.uproject" -editorrecompile -progress
LogInit: Version: 4.2.0-0+UE4
LogInit: Compiled (64-bit): Jun 13 2014 23:34:42
LogInit: Build Configuration: Development
LogInit: Branch Name: UE4
LogInit: Command line:  
LogInit: Base directory: E:/UnrealEngine4/Unreal Engine 4.2/Engine/Binaries/Win64/
LogInit: Rocket: 0
[2014.06.20-21.55.01:456][  0]LogTaskGraph: Started task graph with 3 named threads and 4 total threads.
[2014.06.20-21.55.01:482][  0]LogOnline:Warning: No default platform service specified for OnlineSubsystem
[2014.06.20-21.55.01:486][  0]LogInit: Presizing for 0 objects not considered by GC, pre-allocating 0 bytes.
[2014.06.20-21.55.01:491][  0]LogInit: Object subsystem initialized
[2014.06.20-21.55.01:492][  0]LogInit: Selected Device Profile: [Windows]
[2014.06.20-21.55.01:492][  0]LogInit: Applying CVar settings loaded from the selected device profile: [Windows]
[2014.06.20-21.55.01:494][  0]LogInit: Computer: DOMINIK
[2014.06.20-21.55.01:494][  0]LogInit: User: Dominik
[2014.06.20-21.55.01:495][  0]LogInit: CPU Page size=4096, Cores=4
[2014.06.20-21.55.01:495][  0]LogInit: High frequency timer resolution =3.417993 MHz
[2014.06.20-21.55.01:495][  0]LogMemory: Memory total: Physical=7.9GB (8GB approx) Virtual=131072.0GB
[2014.06.20-21.55.01:495][  0]LogMemory: Platform Memory Stats for Windows
[2014.06.20-21.55.01:495][  0]LogMemory: Process Physical Memory: 53.71 MB used, 53.71 MB peak
[2014.06.20-21.55.01:495][  0]LogMemory: Process Virtual Memory: 27.89 MB used, 27.89 MB peak
[2014.06.20-21.55.01:495][  0]LogMemory: Physical Memory: 2655.93 MB used, 8140.41 MB total
[2014.06.20-21.55.01:495][  0]LogMemory: Virtual Memory: 305.32 MB used, 134217728.00 MB total
